,CIK,Company Name,Date Filed,Filename,Form Type,URL,attriburtes,values
0,35315,FIDELITY FIXED INCOME TRUST,2003-06-27,edgar/data/35315/0000035315-03-000001.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000001.txt,CDS Text,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07, and pay quarterly notional multiplied by"
1,35315,FIDELITY FIXED INCOME TRUST,2003-06-27,edgar/data/35315/0000035315-03-000001.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000001.txt,Expiration Date,June 2007
2,35315,FIDELITY FIXED INCOME TRUST,2003-06-27,edgar/data/35315/0000035315-03-000001.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000001.txt,Notional Amount (000s),"$4,475"
3,35315,FIDELITY FIXED INCOME TRUST,2003-06-27,edgar/data/35315/0000035315-03-000001.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000001.txt,Unrealized Appreciation/ (Depreciation) (000s),$15
4,35315,FIDELITY FIXED INCOME TRUST,2003-06-27,edgar/data/35315/0000035315-03-000001.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000001.txt,CDS Text,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07, and pay quarterly notional multiplied by"
5,35315,FIDELITY FIXED INCOME TRUST,2003-06-27,edgar/data/35315/0000035315-03-000001.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000001.txt,Expiration Date,June 2007
6,35315,FIDELITY FIXED INCOME TRUST,2003-06-27,edgar/data/35315/0000035315-03-000001.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000001.txt,Notional Amount (000s),"$4,475"
7,35315,FIDELITY FIXED INCOME TRUST,2003-06-27,edgar/data/35315/0000035315-03-000001.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000001.txt,Unrealized Appreciation/ (Depreciation) (000s),$15
8,35315,FIDELITY FIXED INCOME TRUST,2003-06-27,edgar/data/35315/0000035315-03-000001.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000001.txt,CDS Text,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07, and pay quarterly notional multiplied by"
9,35315,FIDELITY FIXED INCOME TRUST,2003-06-27,edgar/data/35315/0000035315-03-000001.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000001.txt,Expiration Date,June 2007
10,35315,FIDELITY FIXED INCOME TRUST,2003-06-27,edgar/data/35315/0000035315-03-000001.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000001.txt,Notional Amount (000s),"$4,475"
11,35315,FIDELITY FIXED INCOME TRUST,2003-06-27,edgar/data/35315/0000035315-03-000001.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000001.txt,Unrealized Appreciation/ (Depreciation) (000s),$15
12,35315,FIDELITY FIXED INCOME TRUST,2003-06-27,edgar/data/35315/0000035315-03-000001.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000001.txt,CDS Text,"Receive from Morgan Stanley, Inc., upon default event of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07 and pay quarterly notional multiplied by"
13,35315,FIDELITY FIXED INCOME TRUST,2003-06-27,edgar/data/35315/0000035315-03-000001.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000001.txt,Expiration Date,June 2007
14,35315,FIDELITY FIXED INCOME TRUST,2003-06-27,edgar/data/35315/0000035315-03-000001.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000001.txt,Notional Amount (000s),"$5,575"
15,35315,FIDELITY FIXED INCOME TRUST,2003-06-27,edgar/data/35315/0000035315-03-000001.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000001.txt,Unrealized Appreciation/ (Depreciation) (000s),$19
16,1011378,UNIVERSAL INSTITUTIONAL FUNDS INC,2003-08-28,edgar/data/1011378/0001047469-03-029173.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/1011378/0001047469-03-029173.txt,NA,NA
17,1056707,DREYFUS INVESTMENT PORTFOLIOS,2003-09-04,edgar/data/1056707/0001056707-03-000013.txt,N-CSR/A,https://www.sec.gov/Archives/edgar/data/1056707/0001056707-03-000013.txt,NA,NA
18,1056707,DREYFUS INVESTMENT PORTFOLIOS,2003-08-26,edgar/data/1056707/0001056707-03-000011.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/1056707/0001056707-03-000011.txt,NA,NA
19,1131013,AB FUNDS TRUST/DE,2003-08-26,edgar/data/1131013/0000893220-03-001501.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/1131013/0000893220-03-001501.txt,NA,NA
20,1160990,PIMCO CORPORATE INCOME FUND,2003-07-02,edgar/data/1160990/0001047469-03-023293.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/1160990/0001047469-03-023293.txt,NA,NA
21,19469,PHOENIX SERIES FUND,2003-07-03,edgar/data/19469/0000935069-03-000889.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/19469/0000935069-03-000889.txt,NA,NA
22,356494,VARIABLE INSURANCE PRODUCTS FUND,2003-08-29,edgar/data/356494/0000356494-03-000033.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/356494/0000356494-03-000033.txt,CDS Text,"Receive quarterly notional amount multiplied by .87% and pay Merrill Lynch, Inc. upon default of Raytheon Co., par value of the notional amount of Raytheon Co. 5.375%"
23,356494,VARIABLE INSURANCE PRODUCTS FUND,2003-08-29,edgar/data/356494/0000356494-03-000033.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/356494/0000356494-03-000033.txt,Expiration Date,June 2008
24,356494,VARIABLE INSURANCE PRODUCTS FUND,2003-08-29,edgar/data/356494/0000356494-03-000033.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/356494/0000356494-03-000033.txt,Notional Amount (000s),"$5,000,000"
25,356494,VARIABLE INSURANCE PRODUCTS FUND,2003-08-29,edgar/data/356494/0000356494-03-000033.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/356494/0000356494-03-000033.txt,Unrealized Appreciation/ (Depreciation) (000s),"$16,161"
26,53808,DREYFUS LAUREL FUNDS TRUST,2003-09-03,edgar/data/53808/0000717341-03-000004.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/53808/0000717341-03-000004.txt,NA,NA
27,751199,FIDELITY INCOME FUND /MA/,2003-09-26,edgar/data/751199/0000751199-03-000007.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/751199/0000751199-03-000007.txt,CDS Text,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07, and pay quarterly notional amount multiplied by"
28,751199,FIDELITY INCOME FUND /MA/,2003-09-26,edgar/data/751199/0000751199-03-000007.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/751199/0000751199-03-000007.txt,Expiration Date,June 2007
29,751199,FIDELITY INCOME FUND /MA/,2003-09-26,edgar/data/751199/0000751199-03-000007.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/751199/0000751199-03-000007.txt,Notional Amount (000s),"$200,000"
30,751199,FIDELITY INCOME FUND /MA/,2003-09-26,edgar/data/751199/0000751199-03-000007.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/751199/0000751199-03-000007.txt,Unrealized Appreciation/ (Depreciation) (000s),"$(1,261)"
31,751199,FIDELITY INCOME FUND /MA/,2003-09-26,edgar/data/751199/0000751199-03-000007.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/751199/0000751199-03-000007.txt,CDS Text,"Receive quarterly notional amount multiplied by 1.12% and pay Morgan Stanley, Inc. upon default of Comcast Cable Communications, Inc., par value of the notional amount of Comcast Cable Communications, Inc. 6.75%"
32,751199,FIDELITY INCOME FUND /MA/,2003-09-26,edgar/data/751199/0000751199-03-000007.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/751199/0000751199-03-000007.txt,Expiration Date,June 2006
33,751199,FIDELITY INCOME FUND /MA/,2003-09-26,edgar/data/751199/0000751199-03-000007.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/751199/0000751199-03-000007.txt,Notional Amount (000s),"$400,000"
34,751199,FIDELITY INCOME FUND /MA/,2003-09-26,edgar/data/751199/0000751199-03-000007.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/751199/0000751199-03-000007.txt,Unrealized Appreciation/ (Depreciation) (000s),"$3,195"
35,795422,FIDELITY ADVISOR SERIES II,2003-07-03,edgar/data/795422/0000795422-03-000025.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/795422/0000795422-03-000025.txt,CDS Text,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07 and pay quarterly notional multiplied by"
36,795422,FIDELITY ADVISOR SERIES II,2003-07-03,edgar/data/795422/0000795422-03-000025.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/795422/0000795422-03-000025.txt,Expiration Date,June 2007
37,795422,FIDELITY ADVISOR SERIES II,2003-07-03,edgar/data/795422/0000795422-03-000025.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/795422/0000795422-03-000025.txt,Notional Amount (000s),"$750,000"
38,795422,FIDELITY ADVISOR SERIES II,2003-07-03,edgar/data/795422/0000795422-03-000025.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/795422/0000795422-03-000025.txt,Unrealized Appreciation/ (Depreciation) (000s),"$2,512"
