,ID,CIK,Company Name,Date Filed,Filename,Form Type,URL,CDS Text,Underlying,Counter Party,Exact Underlying,CDS Transaction
0,1,35315,FIDELITY FIXED INCOME TRUST,2003-06-27,edgar/data/35315/0000035315-03-000001.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000001.txt,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07, and pay quarterly notional multiplied by",Vornado Realty,,Vornado Realty 5.625%,
1,1,35315,FIDELITY FIXED INCOME TRUST,2003-06-27,edgar/data/35315/0000035315-03-000001.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000001.txt,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07, and pay quarterly notional multiplied by",Vornado Realty,,Vornado Realty 5.625%,
2,1,35315,FIDELITY FIXED INCOME TRUST,2003-06-27,edgar/data/35315/0000035315-03-000001.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000001.txt,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07, and pay quarterly notional multiplied by",Vornado Realty,,Vornado Realty 5.625%,
3,1,35315,FIDELITY FIXED INCOME TRUST,2003-06-27,edgar/data/35315/0000035315-03-000001.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000001.txt,"Receive from Morgan Stanley, Inc., upon default event of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07 and pay quarterly notional multiplied by",Vornado Realty,,Vornado Realty 6/15/07,
4,8,356494,VARIABLE INSURANCE PRODUCTS FUND,2003-08-29,edgar/data/356494/0000356494-03-000033.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/356494/0000356494-03-000033.txt,"Receive quarterly notional amount multiplied by .87% and pay Merrill Lynch, Inc. upon default of Raytheon Co., par value of the notional amount of Raytheon Co. 5.375%","Raytheon Co.,","Merrill Lynch,","Raytheon Co., 5.375%",
5,10,751199,FIDELITY INCOME FUND /MA/,2003-09-26,edgar/data/751199/0000751199-03-000007.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/751199/0000751199-03-000007.txt,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07, and pay quarterly notional amount multiplied by",Vornado Realty,,Vornado Realty 5.625%,
6,10,751199,FIDELITY INCOME FUND /MA/,2003-09-26,edgar/data/751199/0000751199-03-000007.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/751199/0000751199-03-000007.txt,"Receive quarterly notional amount multiplied by 1.12% and pay Morgan Stanley, Inc. upon default of Comcast Cable Communications, Inc., par value of the notional amount of Comcast Cable Communications, Inc. 6.75%",Comcast Cable,"Morgan Stanley,",Comcast Cable 6.75%,
7,11,795422,FIDELITY ADVISOR SERIES II,2003-07-03,edgar/data/795422/0000795422-03-000025.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/795422/0000795422-03-000025.txt,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07 and pay quarterly notional multiplied by",Vornado Realty,,Vornado Realty 6/15/07,
8,11,795422,FIDELITY ADVISOR SERIES II,2003-07-03,edgar/data/795422/0000795422-03-000025.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/795422/0000795422-03-000025.txt,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07 and pay quarterly notional multiplied by",Vornado Realty,,Vornado Realty 6/15/07,
9,19,831016,VARIABLE INSURANCE PRODUCTS FUND II,2003-08-29,edgar/data/831016/0000831016-03-000009.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/831016/0000831016-03-000009.txt,"Receive quarterly notional amount multiplied by .87% and pay Merrill Lynch, Inc. upon default of Raytheon Co., par value of the notional amount of Raytheon Co. 5.375%","Raytheon Co.,","Merrill Lynch,","Raytheon Co., 5.375%",
10,19,831016,VARIABLE INSURANCE PRODUCTS FUND II,2003-08-29,edgar/data/831016/0000831016-03-000009.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/831016/0000831016-03-000009.txt,"Receive quarterly notional amount multiplied by .87% and pay Merrill Lynch, Inc. upon default of Raytheon Co., par value of the notional amount of Raytheon Co. 5.375%","Raytheon Co.,","Merrill Lynch,","Raytheon Co., 5.375%",
11,22,927384,VARIABLE INSURANCE PRODUCTS III,2003-08-29,edgar/data/927384/0000927384-03-000012.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/927384/0000927384-03-000012.txt,"Receive quarterly notional amount multiplied by .87% and pay Merrill Lynch, Inc. upon default of Raytheon Co., par value of the notional amount of Raytheon Co. 5.375%","Raytheon Co.,","Merrill Lynch,","Raytheon Co., 5.375%",
12,25,205323,FIDELITY COMMONWEALTH TRUST,2003-12-23,edgar/data/205323/0000205323-03-000029.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/205323/0000205323-03-000029.txt,"Receive quarterly notional amount multiplied by .62% and pay Goldman Sachs upon default of SLM Corp., par value of the notional amount of SLM Corp. 1.1106%","SLM Corp.,",Goldman Sachs,"SLM Corp., 1.1106%",
13,25,205323,FIDELITY COMMONWEALTH TRUST,2003-12-23,edgar/data/205323/0000205323-03-000029.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/205323/0000205323-03-000029.txt,"Receive quarterly notional amount multiplied by 1.45% and pay Deutsche Bank upon default event of News America, Inc., par value of the notional amount of News America, Inc. 6.625%","News America,",Deutsche Bank,"News America, 6.625%",
14,27,35315,FIDELITY FIXED INCOME TRUST,2003-12-24,edgar/data/35315/0000035315-03-000015.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000015.txt,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07, and pay quarterly notional amount multiplied by",Vornado Realty,,Vornado Realty 5.625%,
15,27,35315,FIDELITY FIXED INCOME TRUST,2003-12-24,edgar/data/35315/0000035315-03-000015.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000015.txt,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07, and pay quarterly notional amount multiplied by",Vornado Realty,,Vornado Realty 5.625%,
16,27,35315,FIDELITY FIXED INCOME TRUST,2003-12-24,edgar/data/35315/0000035315-03-000015.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000015.txt,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07, and pay quarterly notional amount multiplied by",Vornado Realty,,Vornado Realty 5.625%,
17,27,35315,FIDELITY FIXED INCOME TRUST,2003-12-24,edgar/data/35315/0000035315-03-000015.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000015.txt,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07, and pay quarterly notional amount multiplied by",Vornado Realty,,Vornado Realty 5.625%,
18,28,354046,FIDELITY CHARLES STREET TRUST,2003-11-26,edgar/data/354046/0000354046-03-000003.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/354046/0000354046-03-000003.txt,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07, and pay quarterly notional amount multiplied by",Vornado Realty,,Vornado Realty 5.625%,
19,28,354046,FIDELITY CHARLES STREET TRUST,2003-11-26,edgar/data/354046/0000354046-03-000003.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/354046/0000354046-03-000003.txt,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07, and pay quarterly notional amount multiplied by",Vornado Realty,,Vornado Realty 5.625%,
20,28,354046,FIDELITY CHARLES STREET TRUST,2003-11-26,edgar/data/354046/0000354046-03-000003.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/354046/0000354046-03-000003.txt,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07, and pay quarterly notional amount multiplied by",Vornado Realty,,Vornado Realty 5.625%,
21,28,354046,FIDELITY CHARLES STREET TRUST,2003-11-26,edgar/data/354046/0000354046-03-000003.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/354046/0000354046-03-000003.txt,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07, and pay quarterly notional amount multiplied by",Vornado Realty,,Vornado Realty 5.625%,
22,30,795422,FIDELITY ADVISOR SERIES II,2003-12-29,edgar/data/795422/0000795422-03-000041.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/795422/0000795422-03-000041.txt,"Receive quarterly notional amount multiplied by .62% and pay Goldman Sachs upon default of SLM Corp., par value of the notional amount of SLM Corp.","SLM Corp.,",Goldman Sachs,,
23,30,795422,FIDELITY ADVISOR SERIES II,2003-12-29,edgar/data/795422/0000795422-03-000041.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/795422/0000795422-03-000041.txt,"Receive quarterly notional amount multiplied by .62% and pay Goldman Sachs upon default of SLM Corp., par value of the notional amount of SLM Corp.","SLM Corp.,",Goldman Sachs,,
24,30,795422,FIDELITY ADVISOR SERIES II,2003-12-29,edgar/data/795422/0000795422-03-000041.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/795422/0000795422-03-000041.txt,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07, and pay quarterly notional amount multiplied by",Vornado Realty,,Vornado Realty 5.625%,
25,30,795422,FIDELITY ADVISOR SERIES II,2003-12-29,edgar/data/795422/0000795422-03-000041.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/795422/0000795422-03-000041.txt,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07, and pay quarterly notional amount multiplied by",Vornado Realty,,Vornado Realty 5.625%,
26,31,803013,FIDELITY GARRISON STREET TRUST,2003-11-28,edgar/data/803013/0000803013-03-000003.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/803013/0000803013-03-000003.txt,"Receive quarterly notional amount multiplied by 1.12% and pay Morgan Stanley, Inc. upon default of Comcast Cable Communications, Inc., par value of the notional amount of Comcast Cable Communications, Inc. 6.75%",Comcast Cable,"Morgan Stanley,",Comcast Cable 6.75%,
27,32,819118,FIDELITY CONCORD STREET TRUST,2003-10-31,edgar/data/819118/0000819118-03-000025.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/819118/0000819118-03-000025.txt,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07, and pay quarterly notional amount multiplied by",Vornado Realty,,Vornado Realty 5.625%,
28,46,751199,FIDELITY INCOME FUND /MA/,2004-03-31,edgar/data/751199/0000751199-04-000005.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/751199/0000751199-04-000005.txt,"Receive quarterly a notional amount multiplied by .53% and pay Lehman Brothers, Inc., upon default event of SBC Communications, Inc., par value of the notional amount of SBC Communciations, Inc. 6.25%","SBC Communications,","Lehman Brothers,","SBC Communications, 6.25%",
29,46,751199,FIDELITY INCOME FUND /MA/,2004-03-31,edgar/data/751199/0000751199-04-000005.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/751199/0000751199-04-000005.txt,"Receive quarterly notional amount multiplied by 1.12% and pay Morgan Stanley, Inc. upon default of Comcast Cable Communications, Inc., par value of the notional amount of Comcast Cable Communications, Inc. 6.75%",Comcast Cable,"Morgan Stanley,",Comcast Cable 6.75%,
30,53,831016,VARIABLE INSURANCE PRODUCTS FUND II,2004-02-27,edgar/data/831016/0000356494-04-000003.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/831016/0000356494-04-000003.txt,"Receive quarterly notional amount multiplied by .44% and pay JPMorgan Chase, Inc. upon default event of Lockheed Martin Corp., par value of the notional amount of Lockheed Martin Corp. 8.2%",Lockheed Martin,"JPMorgan Chase,",Lockheed Martin 8.2%,
31,53,831016,VARIABLE INSURANCE PRODUCTS FUND II,2004-02-27,edgar/data/831016/0000356494-04-000003.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/831016/0000356494-04-000003.txt,"Receive quarterly notional amount multiplied by .44% and pay JPMorgan Chase, Inc. upon default event of Lockheed Martin Corp., par value of the notional amount of Lockheed Martin Corp. 8.2%",Lockheed Martin,"JPMorgan Chase,",Lockheed Martin 8.2%,
32,63,205323,FIDELITY COMMONWEALTH TRUST,2004-06-25,edgar/data/205323/0000035315-04-000006.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/205323/0000035315-04-000006.txt,"Receive quarterly notional amount multiplied by .35% and pay Goldman Sachs upon default event of Devon Energy Corp., par value of the notional amount of Devon Energy Corp. 7.95%",Devon Energy,Goldman Sachs,Devon Energy 7.95%,
33,63,205323,FIDELITY COMMONWEALTH TRUST,2004-06-25,edgar/data/205323/0000035315-04-000006.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/205323/0000035315-04-000006.txt,"Receive quarterly notional amount multiplied by .38% and pay Merrill Lynch, Inc. upon default event of EnCana Corp., par value of the notional amount of EnCana Corp. 4.75%","EnCana Corp.,","Merrill Lynch,","EnCana Corp., 4.75%",
34,63,205323,FIDELITY COMMONWEALTH TRUST,2004-06-25,edgar/data/205323/0000035315-04-000006.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/205323/0000035315-04-000006.txt,"Receive quarterly notional amount multiplied by 1.4% and pay Merrill Lynch, Inc. upon default event of Bombardier, Inc., par value of the notional amount of Bombardier, Inc. 6.75%","Bombardier, Inc.,","Merrill Lynch,","Bombardier, Inc., 6.75%",
35,65,35315,FIDELITY FIXED INCOME TRUST,2004-06-25,edgar/data/35315/0000035315-04-000007.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/35315/0000035315-04-000007.txt,"Receive quarterly notional amount multilpied by .23% and pay Goldman Sachs upon default event of Consolidated Natural Gas Co., par value of the notional amount of Consolidated Natural Gas Co. 7.25%",Consolidated Natural,Goldman Sachs,Consolidated Natural 7.25%,
36,65,35315,FIDELITY FIXED INCOME TRUST,2004-06-25,edgar/data/35315/0000035315-04-000007.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/35315/0000035315-04-000007.txt,"Receive quarterly notional amount multiplied by .565% and pay Morgan Stanley, Inc. upon default event of Walt Disney Co., par value of the notional amount of Walt Disney Co. 6.375%",Walt Disney,"Morgan Stanley,",Walt Disney 6.375%,
37,65,35315,FIDELITY FIXED INCOME TRUST,2004-06-25,edgar/data/35315/0000035315-04-000007.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/35315/0000035315-04-000007.txt,"Receive quarterly notional amount multiplied by .35% and pay Goldman Sachs upon default event of Devon Energy Corp., par value of the notional amount of Devon Energy Corp. 7.95%",Devon Energy,Goldman Sachs,Devon Energy 7.95%,
38,65,35315,FIDELITY FIXED INCOME TRUST,2004-06-25,edgar/data/35315/0000035315-04-000007.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/35315/0000035315-04-000007.txt,"Receive quarterly notional amount multiplied by .35% and pay Goldman Sachs upon default event of Devon Energy Corp., par value of the notional amount of Devon Energy Corp. 7.95%",Devon Energy,Goldman Sachs,Devon Energy 7.95%,
39,65,35315,FIDELITY FIXED INCOME TRUST,2004-06-25,edgar/data/35315/0000035315-04-000007.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/35315/0000035315-04-000007.txt,"Receive quarterly notional amount multiplied by .35% and pay Goldman Sachs upon default event of Devon Energy Corp., par value of the notional amount of Devon Energy Corp. 7.95%",Devon Energy,Goldman Sachs,Devon Energy 7.95%,
40,66,354046,FIDELITY CHARLES STREET TRUST,2004-05-28,edgar/data/354046/0000354046-04-000004.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/354046/0000354046-04-000004.txt,"Receive quarterly notional amount multiplied by .35% and pay Goldman Sachs upon default event of Devon Energy Corp., par value of the notional amount of Devon Energy Corp.",Devon Energy,Goldman Sachs,,
41,66,354046,FIDELITY CHARLES STREET TRUST,2004-05-28,edgar/data/354046/0000354046-04-000004.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/354046/0000354046-04-000004.txt,"Receive quarterly notional amount multiplied by .59% and pay Merrill Lynch, Inc. upon default event of Raytheon Co., par value of the notional amount of Raytheon Co. 6.55%","Raytheon Co.,","Merrill Lynch,","Raytheon Co., 6.55%",
42,66,354046,FIDELITY CHARLES STREET TRUST,2004-05-28,edgar/data/354046/0000354046-04-000004.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/354046/0000354046-04-000004.txt,"Receive quarterly notional amount multiplied by .35% and pay Goldman Sachs upon default event of Devon Energy Corp., par value of the notional amount of Devon Energy Corp. 7.95%",Devon Energy,Goldman Sachs,Devon Energy 7.95%,
